ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00204 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Nectriaceae g__Neonectria s__lugdunensis
ASV_ITS_00205 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00206 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00207 k__Fungi p__Ascomycota c__Eurotiomycetes o__Eurotiales f__Aspergillaceae g__Aspergillus NA
ASV_ITS_00208 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00209 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Leucosporidiales f__Leucosporidiaceae g__Leucosporidium s__drummii
ASV_ITS_00210 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Stereaceae g__Stereum s__complicatum
ASV_ITS_00211 k__Fungi p__Ascomycota c__Sordariomycetes o__Coniochaetales NA NA NA
ASV_ITS_00212 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae NA NA
ASV_ITS_00213 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00214 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00215 k__Fungi p__Ascomycota c__Leotiomycetes o__Phacidiales f__Phacidiaceae NA NA
ASV_ITS_00216 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00217 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae NA NA
ASV_ITS_00218 k__Fungi NA NA NA NA NA NA
ASV_ITS_00219 k__Fungi p__Ascomycota c__Dothideomycetes o__Pleosporales f__Trematosphaeriaceae g__Trematosphaeria NA
ASV_ITS_00220 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiales_fam_Incertae_sedis NA NA
ASV_ITS_00221 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00222 k__Fungi NA NA NA NA NA NA
ASV_ITS_00223 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Kriegeriales f__Kriegeriaceae g__Kriegeria s__eriophori
ASV_ITS_00224 k__Fungi p__Ascomycota c__Eurotiomycetes o__Eurotiales f__Aspergillaceae g__Penicillium NA
ASV_ITS_00225 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Piskurozymaceae NA NA
ASV_ITS_00226 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00227 k__Fungi p__Ascomycota c__Dothideomycetes o__Dothideales NA NA NA
ASV_ITS_00228 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae NA NA
ASV_ITS_00229 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Inocybaceae g__Inocybe s__borealis
ASV_ITS_00230 k__Fungi NA NA NA NA NA NA
ASV_ITS_00231 k__Fungi NA NA NA NA NA NA
ASV_ITS_00232 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Galerina s__mniophila
ASV_ITS_00233 k__Fungi p__Basidiomycota c__Tremellomycetes o__Cystofilobasidiales f__Mrakiaceae g__Mrakia s__frigida
ASV_ITS_00234 k__Fungi NA NA NA NA NA NA
ASV_ITS_00235 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Dermateaceae g__Mollisia NA
